date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:56:50	604/604	---MCZ	200	added ('OK')	text/plain	etag:W/%22e435546a701c53bee29ababe47c035e4%22	https://www.allure.com/robots.txt		(from )
13:56:51	838051/838051	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2004:38:32%20GMT	https://www.allure.com/story/ariana-grande-red-lipstick-2023	C:/clone/allure/www.allure.com/story/ariana-grande-red-lipstick-2023.html	(from )
13:56:52	102024/102024	---M--	200	added ('OK')	image/jpeg	etag:%2257d100270fad95eefabeef582e8fd95a%22	https://media.allure.com/photos/652d587ab11475119a2afdaa/16:9/w_2560,c_limit/ariana%20grande%20cat%20eye%20.jpg	C:/clone/allure/media.allure.com/photos/652d587ab11475119a2afdaa/16_9/w_2560,c_limit/ariana%20grande%20cat%20eye%20.jpg	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:56:53	1586791/1586791	---MCZ	200	added ('OK')	application/javascript	etag:%22em5c391x2pxzka%22	https://privacy.condenastdigital.com/fides.js?property_id=FDS-56FCGO	C:/clone/allure/privacy.condenastdigital.com/fides76c5.js	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:56:54	82058/82058	---M--	200	added ('OK')	image/jpeg	etag:%2228f887aac26dd5180da07fb681763880%22	https://media.allure.com/photos/652d587ab11475119a2afdaa/1:1/w_1024,c_limit/ariana%20grande%20cat%20eye%20.jpg	C:/clone/allure/media.allure.com/photos/652d587ab11475119a2afdaa/1_1/w_1024,c_limit/ariana%20grande%20cat%20eye%20.jpg	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:56:54	110372/110372	---M--	200	added ('OK')	text/javascript	etag:898%20/%2020616%20/%20m202606080101%20/%20config-hash:%2011657252732056767096	https://securepubads.g.doubleclick.net/tag/js/gpt.js	C:/clone/allure/securepubads.g.doubleclick.net/tag/js/f.txt	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:56:55	102024/102024	---M--	200	added ('OK')	image/jpeg	etag:%2257d100270fad95eefabeef582e8fd95a%22	https://media.allure.com/photos/652d587ab11475119a2afdaa/16:9/w_2560%2Cc_limit/ariana%2520grande%2520cat%2520eye%2520.jpg	C:/clone/allure/media.allure.com/photos/652d587ab11475119a2afdaa/16_9/w_2560,c_limit/ariana%20grande%20cat%20eye%20.jpg	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:56:55	131189/131189	---MCZ	200	added ('OK')	application/javascript	etag:W/%224ff8d420a86b424714679540e678c008%22	https://ads-static.conde.digital/production/cns/builds/allure/v6.js?v=12816	C:/clone/allure/ads-static.conde.digital/production/cns/builds/allure/v6f9b3.js	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:56:55	812301/812301	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2003:24:50%20GMT	https://www.allure.com/story/ariana-grande-rem-beauty-cover-story-interview	C:/clone/allure/www.allure.com/story/ariana-grande-rem-beauty-cover-story-interview.html	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:56:57	436244/436244	---M--	200	added ('OK')	image/jpeg	etag:%220cff88f78bf5001807965a2e6231ae3f%22	https://media.allure.com/photos/6557a3e8053b50fda2fca460/master/w_1600%2Cc_limit/ariana%2520grande%2520red%2520lipstick.jpg	C:/clone/allure/media.allure.com/photos/6557a3e8053b50fda2fca460/master/w_1600,c_limit/ariana%20grande%20red%20lipstick.jpg	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:56:57	263855/263855	---M--	200	added ('OK')	image/jpeg	etag:%22a8412ab081b2e21d959e1bc11279e2e6%22	https://media.allure.com/photos/6557a5b94243228045d870a2/master/w_1600%2Cc_limit/ariana%2520grande%2520november%25202023.jpg	C:/clone/allure/media.allure.com/photos/6557a5b94243228045d870a2/master/w_1600,c_limit/ariana%20grande%20november%202023.jpg	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:56:58	910899/910899	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2004:56:58%20GMT	https://www.allure.com/story/sydney-sweeney-tauve-lip-color	C:/clone/allure/www.allure.com/story/sydney-sweeney-tauve-lip-color.html	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:56:59	900126/900126	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2004:56:59%20GMT	https://www.allure.com/story/makeup-by-mario-moistureglow-plumping-lip-color-review	C:/clone/allure/www.allure.com/story/makeup-by-mario-moistureglow-plumping-lip-color-review.html	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
13:57:00	1150012/1150012	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202026%2002:44:52%20GMT	https://www.allure.com/story/how-to-wear-brown-lip-liner	C:/clone/allure/www.allure.com/story/how-to-wear-brown-lip-liner.html	(from https://www.allure.com/story/ariana-grande-red-lipstick-2023)
